date,value
06/08/2021,33594.6
06/07/2021,33578
06/06/2021,35815.4
06/05/2021,35520
06/04/2021,36851.3
06/03/2021,39187.3
06/02/2021,37555.8
06/01/2021,36687.6
05/31/2021,37298.6
05/30/2021,35652.8
05/29/2021,34584.6
05/28/2021,35662.5
05/27/2021,38417.3
05/26/2021,39249.2
05/25/2021,38378.3
05/24/2021,38750.6
05/23/2021,34679.7
05/22/2021,37448.3
05/21/2021,37297.4
05/20/2021,40717.2
05/19/2021,36720.5
05/18/2021,42897.3
05/17/2021,43541.3
05/16/2021,46426.4
05/15/2021,46708.8
05/14/2021,49839.8
05/13/2021,49704.6
05/12/2021,49384.2
05/11/2021,56695.7
05/10/2021,55848.9
05/09/2021,58238.3
05/08/2021,58840.1
